,Date,Frequency
0,2020-02-01,17
1,2020-02-02,13
2,2020-02-03,17
3,2020-02-04,20
4,2020-02-05,21
5,2020-02-06,18
6,2020-02-07,17
7,2020-02-08,14
8,2020-02-09,9
9,2020-02-10,8
10,2020-02-11,13
11,2020-02-11,0
12,2020-02-12,16
13,2020-02-13,0
14,2020-02-14,15
15,2020-02-15,15
16,2020-02-16,15
17,2020-02-17,0
18,2020-02-18,14
19,2020-02-19,0
20,2020-02-20,0
21,2020-02-21,15
22,2020-02-22,0
23,2020-02-23,3
24,2020-02-24,0
25,2020-02-25,7
26,2020-02-26,0
27,2020-02-27,7
28,2020-02-28,0
29,2020-03-01,0
30,2020-03-02,10
31,2020-03-03,0
32,2020-03-04,4
33,2020-03-05,14
34,2020-03-06,0
35,2020-03-07,4
36,2020-03-08,0
37,2020-03-09,17
38,2020-03-11,0
39,2020-03-12,8
40,2020-03-13,16
41,2020-03-14,14
42,2020-03-15,0
43,2020-03-16,7
44,2020-03-17,18
45,2020-03-18,0
46,2020-03-19,15
47,2020-03-20,11
