,operable_date,hosp_type,sigungu,sido,code,tel,name
0,20200310,A,강릉시,강원,A0,033-649-0100,의산의료재단 강릉고려병원
1,20200309,A,동해시,강원,A0,033-530-3100,근로복지공단 동해병원
2,20200307,A,천안시 서북구,충남,A0,041-415-0001,서울대정병원
3,20200309,A,고창군,전북,A0,063-560-5600,의료법인석천재단고창병원
4,20200309,A,함양군,경남,A0,055-963-4322,함양성심병원
5,20200312,B,강릉시,강원,A0,033-610-3114,강릉아산병원
6,20200306,A,전주시 완산구,전북,A0,063-220-7200,의료법인영경의료재단전주병원
7,20200305,B,구미시,경북,A0,054-468-9114,순천향대학교 부속 구미병원
8,20200306,B,포항시 남구,경북,A0,054-275-0005,의료법인한성재단포항세명기독병원
9,20200311,B,거제시,경남,A0,055-680-8114,의료법인 대우의료재단대우병원
10,20200311,A,사상구,부산,A0,051-329-3000,의료법인센텀의료재단 서부산센텀병원
11,20200311,B,서구,인천,A0,032-1600-8291,가톨릭관동대학교 국제성모병원
12,20200311,A,달서구,대구,A0,053-630-8000,참조은병원
13,20200313,A,천안시 서북구,충남,A0,041-537-0000,연세나무병원
14,20200317,A,남구,부산,A0,051-930-3000,의료법인고려의료재단부산고려병원
15,20200316,B,고흥군,전남,A0,061-840-1200,의료법인장호의료재단 녹동현대병원
16,20200323,A,성남시 분당구,경기,A0,031-780-5000,차의과학대학교분당차병원
17,20200323,A,강남구,서울,A0,02-3468-3000,차의과학대학교 강남차병원
18,20200317,A,동구,인천,A0,032-580-6000,인천광역시의료원
19,20200317,A,달서구,대구,A0,053-550-5000,더블유병원
20,20200316,B,은평구,서울,A0,02-18111-7755,가톨릭대학교 은평성모병원
21,20200316,A,원주시,강원,A0,033-760-3114,의료법인 성지의료재단 성지병원
22,20200316,A,금정구,부산,A0,051-500-9700,세웅병원
23,20200317,B,오산시,경기,A0,031-379-8300,오산한국병원
24,20200320,A,동작구,서울,A0,02-587-2299,더본병원
25,20200323,B,남구,대구,A0,053-640-8800,드림병원
26,20200323,B,용인시 기흥구,경기,A0,031-1899-1004,연세대학교 의과대학 용인세브란스병원
27,20200330,A,창원시 의창구,경남,A0,055-270-1000,재단법인대구포교성베네딕도수녀회창원파티마병원
28,20200325,A,달서구,대구,A0,053-643-1405,나사렛종합병원
29,20200326,A,목포시,전남,A0,061-272-7588,목포현대병원
30,20200330,A,고양시 일산동구,경기,A0,031-782-8300,의료법인성광의료재단일산차병원
31,20200327,A,중구,대구,A0,053-212-3000,우리들병원
32,20200413,A,천안시 동남구,충남,A0,041-590-9000,천안우리병원
33,20200413,A,양산시,경남,A0,-1600-7582,웅상중앙병원
34,20200416,A,성남시 중원구,경기,A0,031-743-3000,성남중앙병원
35,20200417,A,구리시,경기,A0,031-550-1111,재단법인원진녹색병원
36,20200422,A,연제구,부산,A0,051-507-3000,부산광역시의료원
37,20200313,A,송파구,서울,A0,02-3400-1114,경찰병원
38,20200313,A,성남시 분당구,경기,A0,-1599-7500,분당척병원
39,20200313,A,수원시 권선구,경기,A0,-1800-5446,제이에스병원
40,20200313,A,강서구,부산,A0,051-974-8300,의료법인갑을의료재단갑을녹산병원
41,20200303,A,해운대구,부산,A0,051-709-3000,효성시티병원
42,20200303,A,서구,인천,A0,032-567-6200,온누리병원
43,20200304,A,중구,대구,A0,053-471-2800,푸른병원
44,20200303,A,수원시 팔달구,경기,A0,031-223-2233,의료법인 토마스의료재단 윌스기념병원
45,20200303,B,의정부시,경기,A0,-1661-7500,가톨릭대학교의정부성모병원
46,20200305,A,의정부시,경기,A0,031-856-8111,의료법인 영동의료재단 의정부백병원
47,20200304,B,고흥군,전남,A0,061-835-6000,의료법인영성의료재단 고흥종합병원
48,20200303,A,여수시,전남,A0,061-653-2000,여수한국병원
49,20200303,A,경산시,경북,A0,053-819-8800,의료법인 서명의료재단 세명병원
50,20200303,A,거제시,경남,A0,055-731-1240,의료법인 성념의료재단맑은샘병원
51,20200303,A,진주시,경남,A0,055-747-6000,반도병원
52,20200228,B,강남구,서울,A0,02-2019-3114,연세대학교의과대학 강남세브란스병원
53,20200228,B,강동구,서울,A0,02-2225-1111,한국보훈복지의료공단 중앙보훈병원
54,20200228,B,동작구,서울,A0,-1800-1114,중앙대학교병원
55,20200302,B,서대문구,서울,A0,02-2228-0114,학교법인연세대학교의과대학세브란스병원
56,20200228,B,성북구,서울,A0,-1577-0083,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원)
57,20200302,B,양천구,서울,A0,02-2650-5114,이화여자대학교의과대학부속목동병원
58,20200228,B,용산구,서울,A0,02-709-9114,순천향대학교 부속 서울병원
59,20200305,B,금천구,서울,A0,02-804-0002,희명병원
60,20200302,A,달서구,대구,A0,053-651-3232,보광병원
61,20200302,A,달서구,대구,A0,053-560-9114,의료법인구의료재단 구병원
62,20200228,A,중구,대구,A0,-200-5114,경북대학교병원
63,20200304,A,중구,울산,A0,052-241-1114,의료법인 동강의료재단 동강병원
64,20200228,A,광주시,경기,A0,-1600-9955,참조은병원
65,20200301,B,성남시 분당구,경기,A0,031-787-2114,분당서울대학교병원
66,20200228,B,성남시 수정구,경기,A0,031-757-8900,순천의료재단 정병원
67,20200228,A,시흥시,경기,A0,031-310-6300,의료법인 녹향의료재단 신천연합병원
68,20200302,A,안산시 상록구,경기,A0,031-439-3000,의료법인칠석의료재단사랑의병원
69,20200304,A,여주시,경기,A0,031-885-7582,연세새로운병원
70,20200228,A,이천시,경기,A0,031-642-8871,이천엘리야병원
71,20200228,B,화성시,경기,A0,031-352-8114,의료법인 은혜와감사의료재단 화성중앙종합병원
72,20200309,A,달서구,대구,A0,053-215-6200,의료법인 일민의료재단 세강병원
73,20200228,A,속초시,강원,A0,033-639-8500,속초보광병원
