"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_0~9세","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상"
"전국  (0000000000)","51,843,195","51,843,195","4,119,475","4,902,009","6,799,238","7,006,749","8,375,429","8,662,400","6,426,006","3,623,899","1,667,665","239,567","20,758"
"서울특별시  (1100000000)","9,733,655","9,733,655","655,134","810,349","1,461,212","1,501,662","1,558,128","1,537,114","1,205,699","691,028","266,097","40,809","6,423"
"부산광역시  (2600000000)","3,409,932","3,409,932","240,857","279,909","435,280","430,494","516,889","579,584","513,485","286,808","110,254","14,551","1,821"
"대구광역시  (2700000000)","2,433,568","2,433,568","185,945","233,311","322,594","302,617","390,628","428,955","313,213","171,945","74,745","8,915","700"
"인천광역시  (2800000000)","2,952,689","2,952,689","238,763","279,780","405,826","416,119","489,213","515,257","347,493","172,868","74,768","11,685","917"
"광주광역시  (2900000000)","1,455,705","1,455,705","124,957","162,130","207,787","190,641","244,621","234,045","156,074","91,156","38,293","5,591","410"
"대전광역시  (3000000000)","1,471,858","1,471,858","119,952","151,192","212,258","198,404","241,550","242,974","171,435","88,762","39,389","5,603","339"
"울산광역시  (3100000000)","1,144,563","1,144,563","102,979","115,019","147,434","157,548","190,195","211,169","137,496","57,704","21,847","3,013","159"
"세종특별자치시  (3600000000)","344,792","344,792","47,449","40,751","36,373","61,396","65,983","43,132","28,002","13,660","6,894","1,095","57"
"경기도  (4100000000)","13,288,975","13,288,975","1,175,669","1,344,847","1,779,533","1,916,550","2,296,447","2,208,632","1,435,865","745,509","332,678","49,185","4,060"
"강원도  (4200000000)","1,538,577","1,538,577","108,429","141,217","179,347","169,113","227,123","269,104","228,447","135,644","68,707","10,637","809"
"충청북도  (4300000000)","1,597,639","1,597,639","127,815","152,506","198,733","198,047","243,255","273,598","211,370","119,143","63,866","8,762","544"
"충청남도  (4400000000)","2,119,749","2,119,749","179,194","205,897","243,505","275,275","329,148","340,052","265,905","167,821","98,464","13,598","890"
"전라북도  (4500000000)","1,812,936","1,812,936","134,584","179,656","212,222","194,883","273,525","302,523","246,072","165,942","89,805","12,902","822"
"전라남도  (4600000000)","1,859,290","1,859,290","137,229","171,854","202,245","192,216","264,233","316,811","260,605","191,356","106,614","15,298","829"
"경상북도  (4700000000)","2,653,418","2,653,418","197,251","232,058","289,348","301,627","389,278","463,397","391,301","238,953","131,466","17,787","952"
"경상남도  (4800000000)","3,355,341","3,355,341","281,435","330,223","383,661","416,280","542,296","584,730","438,001","240,945","120,699","16,317","754"
"제주특별자치도  (5000000000)","670,508","670,508","61,833","71,310","81,880","83,877","112,917","111,323","75,543","44,655","23,079","3,819","272"
